Match,Round,Agent_Names,Source,Action_Type,Action_Description,Player_Finished,Player_Hands,Board_Before,Board_After,Possible_Actions,Current_Roles,Match_Score,Game_Score,Game_Performance_Score
1,9,,R1,DISCARD,C5;Q2;J0,0.0,[ 6.  7.  7.  8.  9.  9. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C5;Q1;J0', 'C5;Q2;J0', 'C6;Q1;J0', 'pass']",,,,
1,9,,R2,DISCARD,pass,0.0,[ 6.  6.  7.  8. 10. 10. 10. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,9,,R3,DISCARD,pass,0.0,[ 9. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[5. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[5. 5. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,R1,DECLARE_PIZZA,,,,,,,,,,
1,10,,R1,DISCARD,C7;Q1;J0,0.0,[ 6.  7.  8.  9.  9. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q1;J0', 'C7;Q1;J0', 'C7;Q2;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C11;Q1;J0', 'pass']",,,,
1,10,,R2,DISCARD,C6;Q2;J0,0.0,[ 7.  8. 10. 10. 10. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q1;J0', 'C6;Q2;J0', 'pass']",,,,
1,10,,R3,DISCARD,pass,0.0,[ 9. 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,10,,DQN,DISCARD,pass,0.0,[ 7.  7.  7.  9.  9. 10. 10. 11. 11. 11. 11. 11. 11.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,10,,R1,DISCARD,pass,0.0,[ 6.  7.  8.  9.  9. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 6. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,R2,DECLARE_PIZZA,,,,,,,,,,
1,11,,R2,DISCARD,C11;Q1;J0,0.0,[ 7.  8. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C7;Q1;J0', 'C8;Q1;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C10;Q3;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'pass']",,,,
1,11,,R3,DISCARD,C10;Q1;J0,0.0,[9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C9;Q1;J0', 'C10;Q1;J0', 'pass']",,,,
1,11,,DQN,DISCARD,C7;Q3;J0,0.0,[ 9.  9. 10. 10. 11. 11. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.],[10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 7. 7. 0. 0. 0. 0. 0. 0. 0. 0.],"['C7;Q1;J0', 'C7;Q2;J0', 'C7;Q3;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'pass']",,,,
1,11,,R1,DISCARD,pass,0.0,[ 6.  7.  8.  9.  9. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 7. 7. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 7. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,11,,R2,DISCARD,pass,0.0,[ 7.  8. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[7. 7. 7. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 7. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,11,,R3,DISCARD,pass,0.0,[9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 7. 0. 0. 0. 0. 0. 0. 0. 0.],[7. 7. 7. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,DQN,DECLARE_PIZZA,,,,,,,,,,
1,12,,DQN,DISCARD,C11;Q1;J0,0.0,[ 9.  9. 10. 10. 11. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],"['C9;Q1;J0', 'C9;Q2;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C11;Q1;J0', 'C11;Q2;J0', 'C11;Q3;J0', 'C11;Q4;J0', 'C11;Q5;J0', 'C11;Q6;J0', 'pass']",,,,
1,12,,R1,DISCARD,C6;Q1;J0,0.0,[ 7.  8.  9.  9. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C6;Q1;J0', 'C7;Q1;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'pass']",,,,
1,12,,R2,DISCARD,pass,0.0,[ 7.  8. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,12,,R3,DISCARD,pass,0.0,[9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,12,,DQN,DISCARD,pass,0.0,[ 9.  9. 10. 10. 11. 11. 11. 11. 11.  0.  0.  0.  0.  0.  0.  0.  0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[6. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],['pass'],,,,
1,,,R1,DECLARE_PIZZA,,,,,,,,,,
1,13,,R1,DISCARD,C9;Q1;J0,0.0,[ 7.  8.  9. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[13.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C7;Q1;J0', 'C8;Q1;J0', 'C9;Q1;J0', 'C9;Q2;J0', 'C10;Q1;J0', 'C10;Q2;J0', 'C11;Q1;J0', 'pass']",,,,
1,13,,R2,DISCARD,C8;Q1;J0,0.0,[ 7. 10. 10. 10. 11.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0.],[9. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[8. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],"['C7;Q1;J0', 'C8;Q1;J0', 'pass']",,,,
